Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37
2963,2890,2852,3728,3270,3325,3414,3077,3017,1832,1560,1391,1692,3438,3491,3440,3115,3224,2961,3179,3170,3673,3234,3305,3043,3332,2178,1951,1511,3034,2857,2656,2185,2246,2222,3246,2021
2293,2286,2006,2148,2383,2216,2389,1829,1943,2015,2773,2456,1719,1951,1751,2070,2314,2075,1882,2109,2199,2044,1780,2249,2490,1572,1086,1842,2055,2072,2023,2058,1978,2264,1243,2068,1864
1891,1738,1388,1707,1851,2237,1662,1802,1177,1453,1776,1706,1758,1894,1334,1947,1787,2007,1719,1670,1717,1322,1892,1846,1780,1649,1684,1686,1678,1719,1507,1671,1584,1844,1540,1602,1734
2237,2277,1885,2469,2179,2032,1773,1788,1650,1239,1118,1069,1445,2165,1800,2067,1506,2006,1214,1849,2223,1780,1668,2133,1262,2074,1803,1987,1162,2069,1624,1544,1891,1767,1740,2180,2013
1861,1735,1588,1852,2361,2209,1708,2202,2169,1439,1596,2143,1572,1913,2577,2255,2301,2321,1839,1018,2356,1959,1711,1755,1969,2212,1958,2212,2358,1670,2217,2345,1973,2568,1710,1916,1074
1322,773,1104,1374,1483,1359,1166,755,650,875,1196,711,741,1390,1499,1536,955,976,1246,1353,841,1155,744,1219,1484,871,1140,1072,873,1121,1061,1137,1373,747,753,675,652
1279,1306,1279,1285,1631,1253,1313,1729,1268,1289,1331,1654,1248,1754,1718,1732,1662,1626,1732,1699,1655,1665,1630,1670,1684,1704,1718,1726,1696,1701,1704,1626,1788,1759,1640,1714,1700
1725,774,1568,2315,1978,1929,1633,1071,729,778,1574,766,707,1500,1526,1448,970,1454,1853,1115,849,1634,697,1857,1881,1448,1329,999,1252,1138,1092,1385,1467,819,1315,768,695
2053,2675,2354,2286,2311,1860,2214,1937,1962,1822,1773,2047,2262,1433,2061,2258,1988,2066,1773,1915,2048,2285,2072,1974,2040,1653,1633,1917,2148,2019,2099,1947,1890,2007,2074,1778,1867
2078,1888,2005,1633,1759,1773,1597,1562,1631,1480,1610,1617,1309,1324,1407,1449,1243,1499,1708,1596,1582,1544,1763,1402,1408,1455,1594,1620,1402,1669,1556,1198,1365,1577,1292,1655,1384
1676,1971,1638,1664,1952,2170,1754,1902,2330,2070,2303,2443,2157,2120,2600,2589,1920,2127,2431,2368,2285,2291,2249,2691,2311,1186,2108,1813,1668,1950,2069,1995,2264,2215,1989,1537,1675
1997,2161,2308,1913,1765,2515,1991,2182,2214,2021,2234,2158,2074,2062,2129,2178,2090,2233,2293,2271,2313,2013,2056,2423,2270,2138,2150,2549,2220,1919,1992,2108,1966,1841,1903,2012,2187
2143,1635,1860,1657,1774,1947,2186,2162,1941,1961,2192,2227,1994,1990,1850,2026,1974,1426,1659,2286,2056,1733,2174,2375,2429,1679,2310,2426,2625,2517,2340,1862,2785,2445,3134,2608,2474
2297,2084,2324,2510,2370,2273,2363,2223,2323,2080,2356,2359,2520,2570,2328,2086,2610,2577,2343,2394,2520,2393,2111,2447,2246,2392,2529,2422,2296,2222,2373,2374,2417,2286,2323,2260,2289
2669,2647,2486,2455,2323,2948,3121,2786,2839,2822,3006,2995,3309,2878,1952,1883,2055,1743,2864,2918,2902,1745,2677,2365,2286,2268,1208,2236,2837,2154,2824,3328,2881,2099,3247,2888,2995
3600,3529,3247,3551,3459,3658,3065,2689,2823,3124,3269,3115,3080,3146,3185,3242,3080,3168,3417,3013,3236,3256,2687,3159,3049,2938,2802,2748,2632,2534,2629,2939,3022,2831,2763,2804,3228
1858,2185,2372,2736,2203,2475,2405,2485,2388,2384,2324,2508,2482,2457,2404,2428,2417,2483,2679,3421,3102,2969,2962,3340,3511,2747,2984,3385,3299,3394,3181,2776,3754,3646,3076,3091,3483
1737,1590,1846,1781,1950,1863,1710,1472,1837,1767,2132,2099,1497,1527,1552,1920,1833,1612,1812,1587,1443,1652,1523,1829,1684,1536,1846,1710,1658,2088,1282,1793,1698,1719,1618,1900,1669
1426,1667,1446,1737,1843,1421,1536,1442,1340,1357,1487,1615,1446,1420,1862,2337,1669,1555,1633,1705,1581,1581,1479,1507,1530,1672,1561,1617,1436,1434,1544,1651,1603,1500,1510,1438,1460
1675,1354,1150,1227,1397,1593,1456,1281,1350,1762,2032,1767,1423,1320,1440,1401,2194,1698,1664,2337,1687,1724,1827,2633,1905,1626,5504,1719,1720,1554,1407,1558,1402,1257,1366,1403,1395
857,797,636,963,901,556,944,941,935,917,567,996,680,1226,958,587,1239,1204,973,632,1031,1134,1327,1249,591,1082,779,998,621,607,648,501,739,2018,841,620,1103
1019,621,521,990,963,546,1149,1250,1177,985,592,919,618,952,801,636,906,942,1117,639,794,987,931,785,514,777,761,762,547,1002,631,566,691,1636,613,574,775
1019,746,680,848,951,772,932,855,840,865,878,854,694,889,865,716,911,956,1031,761,864,824,898,876,638,918,628,865,675,940,759,794,1473,1367,1170,825,835
1327,838,775,1057,1029,833,1244,1238,1037,1272,770,1168,765,1090,1247,867,1267,1109,1038,848,1260,1241,1135,1135,707,971,658,1035,699,1219,851,861,1128,1163,1281,819,1143
1602,1393,1387,1428,1594,1437,1342,1375,1334,1238,1546,1383,1128,1698,1265,1377,1494,1422,1307,1377,1249,1424,1300,1553,1590,1417,1364,1355,1003,1327,1249,1711,1412,1467,1400,1346,1322
2698,2714,2831,2992,3043,2718,2755,3210,2832,3059,2258,2424,2862,2319,2396,2211,2370,3125,2438,2707,2471,2350,2637,2703,2433,3145,2907,2941,3008,2846,2632,2492,2351,2384,2417,2352,2028
1792,1615,1895,1523,1491,1453,1371,1381,1467,1430,1691,1823,1701,1723,1817,1668,1649,1594,1767,1521,1878,1910,1755,1767,1636,1616,1791,1807,1560,1831,1706,1764,1592,1521,1752,1709,1797
1691,1448,1439,1763,2156,1746,1822,1597,1777,1791,1724,1402,1473,1598,1929,1368,1908,1513,1795,1712,1379,1600,1825,1762,1532,1786,1669,1729,1476,1502,1579,1482,1716,1580,1545,1479,1759
1710,1828,1735,1573,1696,1657,1624,1642,1698,1640,1522,1636,1669,1632,1725,1561,1649,1773,1503,1750,1809,1726,1608,1571,1633,1620,1647,1782,1686,1597,1520,1592,1548,1640,1682,1608,1470
1553,1693,1499,1825,2225,1644,1795,1298,1937,1979,1654,1664,2082,1952,2005,1913,1592,1783,1837,1985,1936,1948,1840,2117,1935,1807,1541,1864,1342,1647,1916,1612,1890,1758,1982,1876,2167
1502,1332,1463,1453,1523,1454,1449,1299,1306,1334,1366,1337,1294,1338,1325,1340,1301,1311,1316,1388,1326,1270,1289,1272,1269,1406,1382,1371,1429,1425,1411,1429,1390,1438,1438,1260,1412
1949,963,920,1103,1429,1047,876,1041,1174,1049,1186,983,1579,1828,1109,2135,1555,1770,1919,1063,1308,1376,1350,1257,1329,1506,1141,1234,1197,1219,1352,1149,1265,1342,1130,1259,1376
1750,1024,1039,1256,1496,1094,999,1120,919,1259,1050,1190,1389,1653,1180,1969,1533,1721,1941,1419,1357,1372,1389,1220,1298,1261,1348,1196,1320,1517,1428,852,1460,1550,1373,1456,1398
1161,945,931,925,1092,763,934,1077,779,1194,966,747,1128,1675,1113,1395,1913,1807,1650,1208,1228,1161,1387,1211,1238,1094,1094,1138,1482,1435,1404,705,1535,1330,1439,1329,1213
1636,1686,1692,1653,1775,1675,1665,1763,1527,1564,1596,1709,1775,1659,1649,1566,1606,1672,1483,1427,1341,1418,1606,1419,1605,1463,1332,1513,1575,1542,1444,1521,1509,1331,1880,1891,1941
1704,1817,2099,1877,1612,1991,2146,2256,2260,1775,2304,2073,2200,2407,2187,2378,2847,2328,2425,2392,2749,2303,2255,3085,2244,2141,2090,2148,2204,2082,1962,2113,2042,2011,2175,2347,2260
1713,1702,1376,1687,1705,1579,1540,1627,1457,1640,1741,1656,1649,1572,1704,1597,1755,1617,1381,1429,1438,1573,1668,1704,1741,1847,1904,1649,1854,1496,1682,1898,1651,1634,1908,1655,1658
1386,1389,1592,1528,1499,1450,1299,1298,1389,1379,1472,1462,781,1449,1442,1459,1405,1482,706,1285,424,722,679,1114,597,1220,642,745,792,757,839,761,734,758,815,846,822
1265,1291,1326,1337,1383,1330,1429,1381,1281,1245,1534,1244,1048,1345,1241,1307,1276,1293,1013,1277,503,945,716,1170,879,1045,1024,1040,1054,996,1024,965,1012,980,1057,935,993
1554,1466,1407,1187,1934,1407,1772,1871,1409,1608,1367,1450,1396,1551,1402,1679,1855,1891,1785,1434,1929,1605,1678,1775,1586,1523,1647,1398,1478,1535,1697,1514,1617,1837,1678,1680,1915
2122,2123,2013,1965,2139,2189,2021,1827,2017,2274,2003,2292,2173,2063,2094,1968,2215,1823,1992,2019,1653,2341,1879,1576,1847,1863,2473,1822,2426,1687,1459,1542,1665,1537,1626,1694,1303
1282,1151,1397,1451,1415,1028,1118,1114,967,1127,1047,1187,735,1119,1273,1227,1158,1330,697,1076,435,684,786,1172,786,1289,663,765,817,710,790,701,724,803,746,727,698
1716,1095,1927,1879,1333,1812,1805,1613,1820,1449,1990,1391,2252,1533,1354,1704,1764,1880,2295,1639,1633,1669,1460,1771,1419,1684,1756,1496,2067,1730,1095,1730,1750,1704,2214,2382,
2072,2087,1633,2176,1776,1747,2257,2064,1605,2117,2614,1807,2240,1798,1625,1515,1415,1878,1629,1624,1981,2359,2419,2486,2348,1970,1814,1675,1971,1963,1795,,,,,,
1656,1477,1331,1378,1483,1085,1368,1494,1421,1242,1282,1562,1483,1455,1548,1565,1556,1626,1519,1490,1414,1730,1514,1579,1488,1519,1528,1605,,,,,,,,,
2188,2080,2126,2396,1900,2189,1993,1844,2302,2980,2844,2341,2239,1801,2412,2682,2148,2234,2184,2581,1629,1490,1682,1184,1220,,,,,,,,,,,,
1962,1537,1695,1937,1753,1994,2003,1905,1572,1707,1597,1555,1683,1870,1688,1644,1607,1984,1773,1898,1678,1702,1544,,,,,,,,,,,,,,
2073,2016,1834,2026,2213,1708,1918,1715,1911,1808,1900,2199,2123,1894,1898,1963,1910,1910,1963,1738,1789,1908,,,,,,,,,,,,,,,
1733,1475,2261,2380,2541,619,678,564,631,652,710,2215,2173,2621,1989,2417,2671,2368,2265,2158,2128,2450,,,,,,,,,,,,,,,
2018,2327,1684,2079,1881,1767,1849,1801,2087,2357,1934,1755,1859,1633,1570,1193,1630,,,,,,,,,,,,,,,,,,,,
1113,1352,1213,1386,2298,1313,1092,1267,1440,1379,1139,1600,1401,1388,1253,1463,1176,,,,,,,,,,,,,,,,,,,,
1846,2011,2251,1988,2325,1835,1941,1971,2058,1085,2041,1933,1960,1858,2051,1971,2063,,,,,,,,,,,,,,,,,,,,
1719,1861,1505,1787,1726,1576,1685,1547,1446,1656,1466,1583,1427,1201,1536,1408,1331,,,,,,,,,,,,,,,,,,,,
