Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37
10914,12216,10676,10528,11278,10842,9786,10043,10853,10366,9474,9568,10416,9985,9641,8967,8850,9521,9034,9842,9296,9161,9138,9262,9713,9287,9519,10053,9892,8387,8994,8588,8556,9148,9380,9647,9182
16921,15352,14053,14344,11781,15739,15391,11636,12524,12650,12864,12693,12192,11280,11268,12110,11694,11777,12137,13557,11824,12563,11594,11838,10835,11837,12313,11867,10496,10452,10914,10049,10422,10232,10928,10348,10346
17766,16096,14286,13595,14669,14719,13205,13070,14093,13032,12692,11814,14088,12565,12070,12492,14622,15009,13014,11397,12625,15279,13916,14005,14659,12442,10749,9229,19641,8528,8121,7063,5903,6289,6313,6955,8332
14338,14781,14471,19154,12590,14923,15490,15261,15785,14366,15363,14825,16024,14740,12876,14473,10657,10589,12540,10988,10905,9593,10560,9172,10164,10298,10778,11173,11452,11449,12644,10852,11776,13088,11218,11139,10645
9598,8441,9307,8985,8987,9129,8989,9694,10999,10364,10839,11673,12443,12184,13983,12897,13573,14703,14929,13491,14402,16397,19346,16591,18657,18258,18405,16452,18324,18303,21325,19265,20059,18590,19651,19132,18225
12905,11653,22942,14341,13219,13137,11741,11605,10746,9607,10649,8881,8620,7682,8353,7358,7926,8477,7694,9614,9302,9162,7169,6930,9286,9524,9192,8847,9216,8733,7517,7991,10352,11330,8761,8257,6340
9933,12144,10639,10714,11037,13328,11237,11310,11576,11807,11023,12287,11902,12644,12126,12366,12417,14132,12268,11721,11158,10912,12245,13295,12428,9619,9758,9662,11274,10916,9283,7730,7403,6324,8175,7785,6895
19476,18674,17129,17074,16641,18106,16821,15228,15643,13088,14430,11568,10393,10025,9729,9791,9259,9504,9056,7321,7058,12775,10115,7035,7920,9694,11020,9391,11140,11671,12545,10423,12014,11479,9524,10320,8643
11165,11245,10007,9623,9283,8727,9057,8979,8786,9147,40802,9671,9824,10205,10549,10393,11140,10533,10546,11358,10996,10163,10813,11217,11175,10294,10797,10163,9922,9704,9682,9632,9551,9928,9587,9617,10021
23343,18722,11032,19405,19984,16576,19526,20306,16227,16327,14488,15639,16098,12799,15890,13419,12528,13281,14425,14269,13146,12212,11091,12197,11287,11015,10287,10238,9838,10376,10485,9602,9427,9425,9629,9015,9257
13244,13678,18619,16081,13709,12468,14934,13538,13443,13956,11718,12970,10969,11559,10821,8919,7826,7973,9613,19379,13837,10334,11379,11130,12872,15140,14025,12489,12532,13689,13939,13080,11622,11485,12035,11384,12462
19537,17374,14223,18398,12943,14289,17611,18311,19622,15136,17151,17155,17235,19293,17079,17411,16134,18594,18619,16349,19876,17124,16984,15742,14653,15098,13139,11569,12090,10512,9490,8493,8305,9882,12887,8512,11323
20077,22314,22137,22568,20867,20835,19830,21532,19396,18028,18886,18258,19476,20414,16966,16310,16277,16165,15921,16153,16458,16424,15864,17008,16933,17193,17614,18215,17553,17922,17363,17403,17746,17541,17204,17959,16756
10410,11966,10039,9782,10476,9900,9597,8967,8837,8578,8525,8004,9015,9262,10610,10000,9826,9935,10410,10877,9734,9720,9436,9127,10514,10123,9292,9582,8996,9718,11268,9168,8977,9327,9323,13337,10435
15221,17680,17447,19393,17937,15724,15253,14970,15851,13148,12562,13293,12264,11291,10583,11096,12380,14873,17034,16159,12379,12179,12493,12307,11411,10990,10308,11429,11367,12136,11121,11058,11765,12573,11433,10216,9201
17194,15604,15329,15400,14375,16240,15961,17055,15103,12864,12348,12250,10554,10627,11205,12279,13213,13563,13115,12523,11644,10793,8893,9577,9564,9381,10082,10557,10604,10910,10842,10500,11598,11844,10674,10424,10269
32743,33162,25117,26084,28952,26110,28243,16347,11630,11548,11454,11074,12180,9381,9532,8899,9549,17156,11509,10257,21504,23888,12874,11197,12278,10929,15284,20703,14776,15700,16354,13692,17627,10867,11993,19615,16987
14087,11519,11843,12761,14657,15404,15456,14630,12964,13200,12241,12140,11833,12207,11680,11498,12855,12196,11354,14975,11542,13342,15567,11434,14484,12001,13942,12088,11376,14253,11276,12819,13364,11747,13498,13160,11543
26003,24145,20645,18206,21521,25629,23016,23839,23046,25911,24140,23934,24358,25228,23612,24523,22551,23677,24402,25378,24084,25000,25448,22550,25413,22738,24151,23849,23944,23153,23172,22670,23929,23604,22692,23083,21959
17648,21310,19059,18455,16319,18125,17560,15147,15320,15353,15978,15583,15265,14800,12980,15718,16663,16603,14831,16326,15837,13415,12818,13407,13445,13155,13482,11623,10408,9255,10591,9090,11580,11512,8638,6698,7677
14189,11688,11829,8852,9892,8601,8117,9240,10125,8997,8295,10105,8759,9428,21528,20698,21253,20609,12342,11559,11350,10237,16174,12457,10306,10949,11513,12598,10298,10605,13131,13080,12385,27083,30962,26612,26260
13677,12551,10743,12748,12439,11334,10343,10705,9814,10137,9591,12466,9007,8666,9625,9414,10632,10230,9314,9932,9333,8443,9905,9668,9237,9158,9282,9522,7288,7380,8629,8678,7576,8404,8803,7663,7635
23879,24982,23248,24751,23730,22672,21409,20919,19924,20663,24332,20236,22141,20684,17645,17404,15452,16850,14256,13526,12393,12055,11566,11048,10038,12331,12001,11314,11167,11699,11808,11526,12397,11770,11853,11806,12787
23188,20748,18102,19772,18819,17492,18926,17316,17409,18719,19644,17428,16875,18493,18235,16048,17239,15588,17168,15452,13220,13423,13485,14309,13225,14387,13333,12996,14797,13575,14025,14741,15524,12492,12959,12705,10515
12104,10089,16636,12291,14746,15552,14334,11732,14985,14083,11317,12815,13659,13940,12938,13351,13146,12900,12839,12965,12457,12120,11236,11789,11042,9477,9015,9040,9421,11049,12323,13336,12177,12995,12890,12624,12572
17690,15230,15253,18361,19755,17787,20023,19442,15957,17405,16791,18419,18239,16887,17096,18644,15506,18588,15247,16702,18994,15531,14746,17273,18753,15411,13178,13727,17100,14801,14635,13720,12629,14151,14496,13591,11025
16967,13402,16967,13875,15026,15529,20263,18301,20023,18384,17134,15359,14938,14127,15378,16901,15720,19127,16914,16162,18385,15484,16490,14958,14709,15668,16650,16969,16798,16955,17034,14038,15441,17024,14140,18413,15965
