Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30,Var1_31,Var1_32,Var1_33,Var1_34,Var1_35,Var1_36,Var1_37
4039,5308,4216,4669,4433,4472,5137,4491,4484,4103,4084,4029,4315,3700,3798,3723,3616,3564,3483,3910,3841,3563,3606,4167,3616,4234,4214,3717,3893,4259,3646,3977,4259,3729,3428,3461,3725
643,2559,3053,2487,2370,2968,2727,3138,2661,3394,2806,2587,2897,2988,2716,2354,2740,2862,2921,2768,2830,3233,3118,2657,2740,2636,2782,3142,2277,3616,3026,3003,3616,3604,3694,4982,3499
2863,1875,1097,1772,1760,1782,1763,1953,1222,1583,1418,1519,1299,1381,1520,1231,2036,1488,1135,1239,1418,1449,1067,1038,2036,1369,1946,1940,1740,1466,1354,1187,1466,1195,901,532,1175
2744,1741,1258,1454,1814,1050,1345,1176,1837,1827,2024,1359,1287,1802,1500,1572,1728,1172,1697,1632,1551,1281,1854,1770,1728,1907,1508,1798,1475,990,1699,1744,990,1284,1272,594,1420
2239,2014,1900,2179,2597,2048,2065,2305,2278,2017,2436,2553,2235,2338,2455,2758,2682,2526,2709,2811,2561,2461,2315,2353,2181,3366,2783,2722,2575,2429,2597,104,2459,1224,2277,1621,1606
1626,1608,1608,1609,1621,1606,1503,1614,1605,1594,1619,1613,1598,1599,1611,1609,1603,1494,1482,1586,1582,1582,1556,1472,1603,1465,1574,1475,1575,1480,1604,1585,1480,1553,1577,1564,1557
2274,2630,2368,2348,2532,2466,2323,2357,2668,2153,2457,2658,2338,2527,2548,2522,2524,2529,2509,2658,2441,2224,2306,2347,2524,2338,2364,2333,2457,2099,2416,2724,2371,2985,2857,2533,2722
2531,2141,2615,2520,2455,2484,2676,3091,3420,2997,3160,3368,3091,3119,3299,3361,3086,2834,2927,2832,2772,2649,2891,3541,3086,3025,2684,2597,2112,2371,2506,2424,2099,3038,2624,3100,2724
1964,2099,2123,2166,2370,2004,2079,2514,2607,2181,2258,2187,2209,2160,2546,2227,2471,2632,2373,2937,2123,1964,2102,2516,2471,2904,2266,2573,2476,2320,2612,2505,2320,2283,2282,2785,2157
1945,2139,2421,2061,2039,2565,2017,2023,1889,1695,2043,1905,2002,2154,1775,1427,1842,2337,2188,2276,2500,2364,2578,2409,1842,2637,2052,2005,2287,1691,1912,2036,1691,2522,2129,2397,2218
2447,2918,2009,2449,2401,2539,2758,2590,2323,2404,2233,2743,2589,2064,2071,2646,2155,2299,2391,2588,2668,2664,2739,2738,2155,2527,2470,2572,2477,2546,2823,2541,2546,2638,2392,2609,2753
2630,1673,1698,1843,2287,1639,1959,2214,2104,2214,3043,2573,1669,2053,1664,1970,1994,2220,2408,3055,2433,2227,2298,2327,1994,2399,2244,1963,2090,2416,2147,2486,2416,2121,2359,1890,2323
2010,2505,2430,1952,1988,2119,1917,2174,2271,2044,2227,1904,2017,2035,2197,2079,2252,2496,2511,2934,2683,2897,2924,2678,2252,2638,2389,2556,2735,2347,2668,2930,2347,2476,2572,2537,2286
1932,2172,2402,2144,2166,2053,2137,1974,2245,2112,1980,2128,2068,2300,2211,2119,2048,2264,2545,2448,2329,2644,2623,2716,2048,2652,2247,2294,2257,2235,2392,2182,2235,2584,2573,2601,2286
2717,2880,2069,2710,2384,2509,2634,2605,2339,2331,2135,2022,2057,2189,2184,2245,2306,2226,2464,2432,2618,2357,2510,2277,2306,2455,2182,2272,2434,2334,2488,2241,2334,2587,2595,2561,2505
3404,4462,4928,4724,4368,4936,4463,4320,4170,4028,3739,3684,4559,4788,5140,5090,4554,4453,4330,4373,4635,4516,4831,4441,4554,5160,5214,5389,5657,5211,4998,4905,5211,5366,4904,5513,4973
2240,2281,1996,2247,2117,2219,1721,1926,1935,1796,1935,1859,2085,1906,1738,1741,1776,2079,2238,2045,2089,2189,2282,2478,1776,2293,2388,2248,2032,2379,2347,2410,2379,2184,2344,2277,2428
4463,4890,4024,4172,3978,4732,5392,4688,4144,3999,4008,4537,4746,4222,4251,4490,4286,4060,3418,3533,3307,3637,3507,3026,4286,3291,3525,3593,4143,3470,3195,2514,3470,4181,3967,3150,3059
2071,1898,1726,1952,1780,1865,1760,2012,1782,1686,1556,2042,1762,1630,1747,1616,1670,1736,1865,1811,1810,2016,1862,2033,1670,1807,1902,1802,1882,1797,1894,1867,1797,1883,1943,2035,1881
1914,1793,1953,1702,1721,2101,1975,1773,1855,2370,1812,2018,2031,2233,1752,1686,1967,1931,2287,2320,2319,2623,2687,2629,1967,2438,2306,2110,2246,1871,2266,2415,1871,2669,2509,2510,2452
1940,1822,1997,1760,1663,1683,1814,1846,2073,1903,2092,2098,1633,1707,1938,2018,2116,2110,2242,2101,2317,2144,2053,2048,2116,2143,1933,1709,1491,1778,1996,2035,1778,1703,1668,1771,1560
734,893,1086,963,1118,933,1175,892,892,948,1105,705,880,781,906,922,1037,1606,1700,1267,1311,1394,1437,1311,976,1117,1319,1348,1378,1329,1410,1331,1350,1452,1525,1693,1666
1618,1729,1626,1686,1628,1693,1718,1502,1692,1734,1774,1628,1712,1660,1632,1565,1537,1616,1829,1620,1846,1701,1701,1977,1537,1997,1813,1898,1616,1538,1669,1935,1538,1812,1606,1564,1623
103,170,322,239,431,167,322,442,433,432,460,441,448,572,489,495,488,481,394,541,543,512,482,485,488,418,532,511,412,404,186,188,404,406,416,415,415
1981,2100,1690,1603,1845,2004,1616,1801,1850,2405,2113,2483,1957,2138,2285,2378,2273,2362,2346,2269,2301,2326,2327,2432,2273,2674,2472,2286,2315,2272,2499,2262,2272,2395,2429,2442,2021
1940,1857,2228,1725,2308,2107,2028,2003,1994,2147,2089,1845,2035,2052,2052,2100,2037,2248,2239,2330,2397,2184,2643,2393,2037,2283,1943,2364,1789,2047,2093,2047,2047,2315,2549,2242,2557
2263,1660,1855,2137,1433,1570,2057,1983,1976,1675,1755,2000,1700,1793,1800,1910,1841,1996,1829,1888,2005,1829,1831,1744,1841,1988,1999,1602,1654,1547,1570,1497,1547,1550,1540,1570,1403
4296,4022,4037,3912,4458,3891,3812,4081,3830,4049,3968,4053,3843,3969,4662,4408,4428,4564,4704,4667,5024,5082,5358,4838,4428,5225,4523,4888,4187,4745,5288,4726,4745,5606,5836,5727,5784
1451,1643,1601,1756,1911,1675,1616,1711,1769,1808,1555,1743,1550,1640,1749,1965,2008,1921,1685,1883,1982,1916,2076,1893,2008,1941,1927,1610,1872,2050,1613,1938,2050,2146,2141,2128,2094
2508,2843,2610,3251,2984,3363,2672,2963,2254,2839,2398,2829,2413,2599,3149,2750,2190,2800,2670,2652,2725,3391,2747,2498,2190,2428,2510,2053,2426,2559,2875,2409,2559,2516,2380,2491,2471
3617,3785,3061,2415,3273,3737,2953,2913,3838,3457,3003,3028,3249,3380,2911,2806,3010,2896,2918,3154,2300,2457,2901,2940,3010,2944,2738,3501,3214,2973,3015,3394,2973,3343,2336,2246,1927
1507,1532,1534,1642,1675,1700,1594,1535,1688,1805,1555,1598,1631,1579,2079,1637,1873,1767,1979,2341,2068,2124,2147,2107,1873,1948,1539,2057,1766,1897,2085,1993,1897,2152,2295,2144,2159
1891,1926,1989,2351,1964,1980,1947,1760,1911,1846,1810,1696,1644,1478,1504,1702,1828,1725,1581,1923,1987,2030,1547,1318,1828,1322,1474,1400,1473,1465,1578,2595,1465,1565,2528,2059,1710
