Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25
3127,3178,3276,3040,3157,3093,1476,49,1625,1552,1394,473,660,1027,1403,1231,1704,714,1327,900,817,524,825,725,848
3486,3524,3775,3246,3394,3112,3019,3118,3538,3578,3793,3241,3319,3184,3164,3121,3394,3077,3179,2879,2934,2887,2894,2873,2697
5675,476,6655,5801,7477,6066,5090,4751,4041,3795,3610,3277,3434,3198,3183,3221,3195,3177,3189,3335,2934,3048,2929,2702,2845
7813,6764,8882,8172,6790,7784,6123,6973,8222,7603,7182,6384,6850,6400,7537,3537,6503,7364,6895,6838,7120,7679,7059,6314,5342
2337,2093,2096,1996,2082,1817,1924,1967,1755,2113,1714,1915,1783,1616,1964,1940,1932,1912,1803,1747,1672,1960,1767,1680,1650
2326,2263,2265,2173,2671,2418,2307,2399,2193,2235,1935,2101,2189,2063,2073,2371,2691,2414,1985,2110,2059,2008,2142,1936,2081
1729,1741,1709,1486,1815,1532,1562,1449,1508,1810,1809,1485,1499,1627,1488,1418,1343,1341,1367,1390,1389,1406,1350,1332,1376
2653,2100,2838,1914,1551,1662,1969,1835,1645,1582,1903,1899,1997,1918,1851,1895,1918,1807,1742,1698,1755,1877,1686,1779,1755
1609,1267,1428,2365,2348,2605,2810,3314,3198,3366,3534,3265,4264,3453,3123,3119,3419,3303,3246,4083,3219,2876,3024,2926,5208
6536,8086,4533,6232,6806,5653,6481,6632,6168,6243,7961,7242,7141,6934,7333,6387,6499,7012,6506,6381,6472,7025,6017,5493,6005
3964,7646,8586,4400,4501,3054,2960,3009,2602,2632,2657,2642,2696,2957,2447,3008,2848,2655,2916,2811,2569,2755,2637,2571,2673
15642,11540,4338,5577,5202,5023,3129,5537,3791,3058,2958,2744,2797,2905,3068,2875,2684,2830,2636,2543,2509,2505,2588,2327,2350
1916,1166,532,3268,2196,5035,3151,3440,2950,2925,3298,2992,2903,2862,2895,3006,2802,2659,2609,2553,2448,2745,2707,2999,2899
4316,531,4354,3681,3594,3942,4262,3444,4093,3392,3666,3230,3254,3403,3165,3592,2837,2800,2586,2596,2663,2692,2559,2425,2527
